state,year,margin_of_victory_prev
MD,12,0.2544482511753323
MD,16,0.26076458440373107
MD,20,0.13204966050032968
MD,24,0.33210373292328355
ME,12,0.17321718960067733
ME,16,0.1504364215365681
ME,20,0.028685360128100856
ME,24,0.08974351235354122
MI,12,0.1647354164550675
MI,16,0.09497288183098529
MI,20,0.00223033269129308
MI,24,0.02783527599686747
MN,12,0.1023736165414077
MN,16,0.07694102046577611
MN,20,0.015198408574896238
MN,24,0.07110156900570641
MO,12,0.001334265461736872
MO,16,0.09380257590423757
MO,20,0.1863711700292494
MO,24,0.1539087404270113
MS,12,0.1317463455477899
MS,16,0.11496487199591776
MS,20,0.17826249817051543
MS,24,0.1654534811940394
MT,12,0.0226398617450404
MT,16,0.13653398010114698
MT,20,0.2053097309342684
MT,24,0.16369099878411197
NC,12,0.003288677803988116
NC,16,0.020420955250753936
NC,20,0.036552285279709384
NC,24,0.013481207109322657
ND,12,0.0862956026290107
ND,16,0.196183716695775
ND,20,0.35728888372633294
ND,24,0.3335728637799563
NE,12,0.1493358759286692
NE,16,0.2177587776111906
NE,20,0.2504859474999022
NE,24,0.19057532390266246
NH,12,0.09605468585172378
NH,16,0.05575887658023099
NH,20,0.003675956877371378
NH,24,0.07351565775470054
NJ,12,0.15568203292611082
NJ,16,0.17718790083493224
NJ,20,0.14102697799664748
NJ,24,0.15937672895464478
NM,12,0.15128445428460613
NM,16,0.10149433881376646
NM,20,0.0821313284539138
NM,24,0.10792616603442767
NV,12,0.12492560815334647
NV,16,0.06680933829136931
NV,20,0.02417128360516624
NV,24,0.02390534632724617
NY,12,0.2883972442958247
NY,16,0.29519386846643086
NY,20,0.23745540294106032
NY,24,0.22930590695743974
OH,12,0.04593691697250518
OH,16,0.029783067798972995
OH,20,0.0812957439906617
OH,24,0.08031961760169615
OK,12,0.31290162245387004
OK,16,0.33544639486033123
OK,20,0.36391184535083465
OK,24,0.3308709751207632
OR,12,0.16347824564628444
OR,16,0.12089455476255678
OR,20,0.10977816818365327
OR,24,0.16086072607705526
PA,12,0.10318475532122945
PA,16,0.053959916684662546
PA,20,0.007242696391831671
PA,24,0.011648836352756708
RI,12,0.27806158137720816
RI,16,0.27457297292449934
RI,20,0.15508549070977978
RI,24,0.2080581829435772
SC,12,0.08977083961271626
SC,16,0.10473097848499935
SC,20,0.14265912896030342
SC,24,0.11676642419382555
SD,12,0.08411545258197528
SD,16,0.1802317111718868
SD,20,0.2979332221900981
SD,24,0.2616413753611495
TN,12,0.15068416220181252
TN,16,0.20402899726142393
TN,20,0.2600570089556452
TN,24,0.2320885989526011
TX,12,0.11769239006436782
TX,16,0.15783619184295533
TX,20,0.08999427598323423
TX,24,0.055785936896821375
UT,12,0.28178124048426556
UT,16,0.4804086727472873
UT,20,0.18079547995831408
UT,24,0.2048379044661353
VA,12,0.06298969182920344
VA,16,0.038733538998295236
VA,20,0.053237058194936515
VA,24,0.10114013510520287
VT,12,0.37006454471059486
VT,16,0.35597915065655383
VT,20,0.2596335972190584
VT,24,0.3507472342627936
WA,12,0.1717658727153346
WA,16,0.14868776867563632
WA,20,0.1570599987518913
WA,24,0.19203323391959787
WI,12,0.13904124029594256
WI,16,0.06837815821534832
WI,20,0.007643431950674573
WI,24,0.006270995418189151
WV,12,0.1312059272465803
WV,16,0.2675653826304595
WV,20,0.42153646793847843
WV,24,0.3893503068009645
WY,12,0.3220428082729185
WY,16,0.40556679071882445
WY,20,0.4576951017821538
WY,24,0.43111923390412316
